Inh L1 LAMP5 PVRL2:Brain	RELN;HS3ST5;TRPC3;CBLN4
Inh L1 LAMP5 RAB11FIP1:Brain	MYH11;FREM1;ADAMTS20
Inh L1-6 LAMP5 AARD:Brain	FREM1;KIT;FBXL7;PRELID2
Inh L1-6 LAMP5 NES:Brain	RO;NTNG1;EPHA3;EYA4;KIT
Inh L1-6 LAMP5 CA1:Brain	NOS1;HS3ST4
Inh L5-6 LAMP5 CRABP1:Brain	LOC105379168;PDGFD
Inh L3-6 PAX6 LINC01497:Brain	PALMD;RELN
Inh L1 PAX6 MIR101-1:Brain	TGFBR2;RELN
Inh L1 LAMP5 BMP2:Brain	FREM1;COL5A2
Inh L1 LAMP5 NMBR:Brain	RELN;PCDH18
Inh L1 PAX6 CHRFAM7A:Brain	LINC01539;CHRNA7;CNR1
Inh L1-6 VIP SLC7A6OS:Brain	PBX3;CNR1
Inh L2 PAX6 FREM2:Brain	IGFBP7;CILP2
Inh L1-2 VIP HTR3A:Brain	HTR3A;LOC105373642
Inh L1-2 VIP WNT4:Brain	SYT9;LOC105379064
Inh L1 PVALB SST ASIC4:Brain	ADAM33;NCKAP5;PRELID2
Inh L1 SST P4HA3:Brain	FOXO1;ARHGAP42;ST8SIA6
Inh L1 SST DEFB108B:Brain	NDST4;SYT10
Inh L1-3 VIP CBLN1:Brain	TAC3;LOC284825;HTR2C
Inh L1-2 VIP EXPH5:Brain	SCTR;ST18
Inh L1-3 VIP HSPB6:Brain	CCNG2;IGFBP5
Inh L1-2 VIP PTGER3:Brain	PARD3B;SYT10;KCNH8
Inh L1-2 VIP SCML4:Brain	KCNH8;LOC100506497;ABI3BP
Inh L1-3 VIP FNDC1:Brain	LOC101928842;KCNH8;LOC101927286
Inh L1-3 VIP CHRNA2:Brain	LOC105373642;PPP1R1C;EYA4
Inh L2 VIP SLC6A16:Brain	KCNT2;LOC105370456
Inh L1 VIP KLHDC8B:Brain	SLITRK4;ITGBL1
Inh L3-5 VIP IGDCC3:Brain	NOX4;EREG
Inh L1-5 VIP SMOC1:Brain	VIP;SMOC1;ANGPT1
Inh L3-5 VIP HS3ST3A1:Brain	IQGAP2;SLC22A3;ABI3BP
Inh L5-6 VIP COL4A3:Brain	PARD3B;KCTD12;ABI3BP
Inh L1-5 VIP CD27-AS1:Brain	ANKFN1;EGFEM1P;IQGAP2
Inh L2-5 VIP BSPRY:Brain	PDE3A;LOC101927078;ST18
Inh L2-5 VIP SOX11:Brain	ADAMTSL1;THSD7B;HTR2C
Inh L3-6 VIP ZIM2-AS1:Brain	CXCL14;PENK
Inh L1-5 VIP PHLDB3:Brain	EGF;THSD7B
Inh L1-5 VIP LINC01013:Brain	DACH2;THSD7B;SRGAP1
Inh L3-6 VIP UG0898H09:Brain	GALNT10;LOC105373454;LINC01411
Inh L3-5 VIP TAC3:Brain	SOX2_OT;COL19A1;TSHZ2
Inh L1-6 SST NPY (Sset Chodl):Brain	NPY
Inh L3-5 SST CDH3:Brain	FREM1;NPNT;QRFPR
Inh L5 SST RPL35AP11:Brain	FREM1;EDNRA;TRHDE
Inh L5-6 SST ISX:Brain	COL19A1;TRPM3
Inh L5-6 PVALB SST CRHR2:Brain	SPON1;HPGD;RGS5
Inh L3-5 SST OR5AH1P:Brain	ADAMTS5;SST;FBXL7
Inh L3-5 SST GGTLC3:Brain	RELN;EYS
Inh L2-3 SST NMU:Brain	NOS1;PIEZO2;HPSE2
Inh L5-6 SST PAWR:Brain	TRHDE;NDST4;EPB41L4A
